Title;Year;Country;Length;Code;Remarks

13th Knight, The;1999;USA;100;2;
24 - Season One;2002;USA;1080;2;
24 - Season Two;2002;USA;1080;2;
About a Boy;2002;UK, USA, FR;97;2;
About Schmidt;2002;USA;120;2;
Aladdin;1992;USA;87;2;2-Disc Special Edition
Along Came Polly;2004;USA;85;2;
Amélie de Montmartre;2001;FR, DE;117;2;
American Beauty;1999;USA;117;2;
American History X;1998;USA;114;2;
American Pie;1999;USA;92;2;Platinum Edition
Amores Perros;2000;MEX;148;1;
Anger Management;2003;USA;101;2;
Apocalypse Now - Redux;1979;USA;195;2;
As Good as It Gets - Besser geht's nicht;1997;USA;133;2;
Asterix & Obelix: Mission Kleopatra;2002;FR, DE;107;2;
Austin Powers: Gold Member;2002;UK;91;2;
Austin Powers: International Man of Mystery;1999;UK;91;2;
Austin Powers: The Spy who Shagged me;1999;UK;91;2;
Babe;1995;AUS, USA;92;2;
Bad Boys 2;2003;USA;141;2;Extended Version
Batman Begins;2005;USA;141;2;
Beautiful Mind, A;2001;USA;130;2;
Beauty and The Beast;1991;USA;87;2;
Before Sunrise;1995;USA, AUT, CH;97;2;
Before Sunset;2004;USA;77;2;
Big Lebowski, The;1997;USA;112;2;
Billy Elliot;2000;UK, FR;106;2;
Black Dahlia, The;2006;DE, USA;116;2;
Blue in the Face;1995;USA;83;2;Boxed: Smoke & Blue in the face
Blue Planet;2001;USA;41;2;
Bollywood Hollywood;2002;CAN;105;2;
Bourne Identity, The;2002;USA, DE;113;2;Special Edition
Bourne Identity, The;2002;USA, DE;114;2;Die Ultimative Bourne Collection
Bourne Supremacy, The;2004;USA, DE;103;2;Die Ultimative Bourne Collection
Bourne Ultimatum, The;2007;USA, DE;110;2;Die Ultimative Bourne Collection
Bowling for Columbine;2002;USA;118;2;
Breakfast at Tiffanys;1961;USA;110;2;
Breaking the Waves;1996;DK, SWE, FR;150;2;
Bridget Jones's Diary;2001;UK, FR;93;2;Widescreen Edition
Bruce Almighty;2002;USA;101;2;
Casablanca;1943;USA;98;2;
Cast Away;2000;USA;138;2;
Catch Me If You Can;2002;USA;135;2;
Cell, The;2000;USA;105;2;
Charlie and the Chocolate Factory;2005;USA;115;2;
Charlie's Angels;2000;USA;94;2;
