  1,"First Three Minutes, The","Weinberg, Steven",1988,Basic Books,Science & Technology
  2,"Catholic Modernity? Charles Taylor's Mirianist Award Lecture, with Responses by William M. Shea, Rosemary Luling Haughton, George Marsden, and Jean Bethke Elshtain, A","Heft, James L.",1999,Oxford University Press,Religion & Beliefs
  3,"Companion to Old and Middle English Literature, A","Lambdin, Laura Cooner",2002,Greenwood Press,Fiction & Literature
  4,"History of Education in the British Leeward Islands, 1838-1945, A","Fergus, Howard A.",2003,University Press of the West Indies,"Family, Childhood, & Education; History & Social Studies; Social Issues"
  5,"Mighty Baptism: Race, Gender, and the Creation of American Protestantism, A","Juster, Susan",1996,Cornell University Press,History & Social Studies; Religion & Beliefs
  6,"Primer of Italian Fascism, A","Schnapp, Jeffrey T.",2000,University of Nebraska Press,History & Social Studies; Military; Travel & Places
  7,"Strategic Governance Review for Multi-Organizational Systems of Education, Training, and Professional Development, A","Daley, Glenn A.",2003,Rand,History & Social Studies; Military; Travel & Places
  8,Achieving a Productive Aging Society ,"Bass, Scott A.",1993,Auburn House,"Family, Childhood, & Education; Health; Science & Technology; Social Issues"
  9,Across the Boundaries of Belief: Contemporary Issues in the Anthropology of Religion,"Klass, Morton",1999,Westview Press,Religion & Beliefs
 10,Adjustment in Africa: Lessons from Country Case Studies,"Faruqee, Rashid",1994,World Bank,Business & Law; History & Social Studies; Travel & Places
 11,Adoption Nation: How the Adoption Revolution Is Transforming America,"Pertman, Adam",2000,Basic Books,"Family, Childhood, & Education; Social Issues"
 12,Advances in Instructional Psychology ,"Glaser, Robert",1978,Lawrence Erlbaum Associates,"Family, Childhood, & Education; Health; Science & Technology; Social Issues"
 13,Advances in Vocational Psychology ,"Walsh, W. Bruce",1986,Lawrence Erlbaum Associates,Health; Science & Technology
 14,"Advertising to Children on TV:  Content, Impact, and Regulation","Gunter, Barrie",2005,Lawrence Erlbaum Associates,Business & Law
 15,"Advertising, Alcohol Consumption, and Abuse: A Worldwide Survey","Fisher, Joseph C.",1993,Greenwood Press,"Business & Law; Family, Childhood, & Education; Health; Science & Technology; Social Issues"
 16,"Africa in Latin America:  Essays on History, Culture, and Socialization","Fraginals, Manuel M.",1984,Holmes & Meier,History & Social Studies; Travel & Places
 17,African Encounters with Domesticity ,"Hansen, Karen T.",1992,Rutgers University Press,"Family, Childhood, & Education; Social Issues"
 18,African Refugees: Development Aid and Repatriation,"Adelman, Howard",1994,Perseus Books,Social Issues
 19,AIDS and STDs in Africa: Bridging the Gap between Traditional Healing and Modern Medicine,"Green, Edward C.",1994,Westview Press,Health; Science & Technology; Social Issues
 20,AIDS in Africa and the Caribbean ,"Bond, George C.",1997,Westview Press,Health; Social Issues
 21,America Builds: Source Documents in American Architecture and Planning,"Roth, Leland M.",1983,Harper & Row,Art; History & Social Studies
